■対象入学年度,■対象学科名,■科目名,,■前後期,■実施期,■区分,■単位数,■担当教員,■代表者教員連絡先等,■授業の概要（目的と内容）,■受講学生が達成すべき目標,■成績の評価基準,■授業計画,■授業時間外学習,■参考書・教科書,■オフィスアワ－,■修得しておくべき科目・必要な予備知識,■学科の学習・教育到達目標との関連,■授業形態,■備考,■アクティブ・ラーニング,■アクティブ・ラーニング（「その他」の内容）,■アクティブ・ラーニング（授業回数）,■実務経験のある教員による実践的授業
2018,環境化学工学科,生産工学論,Production Engineering,前期,３年次前期,選択,2,塗木淳夫、吉田秀樹、上谷俊平、本間俊雄, 099-285-8417　nuruki@ibe.kagoshima-u.ac.jp,"本講義は、情報工学編、機械工学編、建築工学編の3分野から総合的に生産工学を講述する。
情報工学編では、ソフトウェアの生産工程、仮想環境や分散オブジェクトを利用した生産工学について講述する。さらに電力工学、通信工学、電子工学および情報工学の領域に必須とされる基本的なハードウエアに関し、その具現化、設計、生産、運用管理などの概要を、技術の歴史の観点、地誌や国の事情なども加味して講述する。
機械工学編では、機械・器具および構成部材の製造に関する工学と技術について、基礎的な事象を総括的に講述する。
建築工学編では、全ての工学に関わる分野を網羅的かつ統合的にアセンブルし、意匠デザインを考慮した技術を扱い、具体的な事象を例に取り上げ、統括的に講述する。","ソフトウェアの生産工程や仮想環境、分散オブジェクトを利用した生産工学、情報工学に必要なハードウェアの設計・生産、およびについて理解すること。
機械部品の製造過程で用いられるもの作りに関する工学と技術を理解し、基礎知識を得ること。
建築物を創りだす、計画、設計、施工、維持管理の流れを理解し、建築生産工学の基礎知識を得ること。",授業への出席状況、受講態度およびレポートの結果を基に各担当教員が成績を評価する。これらの成績を総合評価して最終成績とする。,"１～７．情報工学編
８～12．機械工学編
13～15．建築工学編",これらの授業時間外学習は６０時間おこなうこと,特になし,最初の講義の時間に指示する。,特になし,授業の進め方、成績の評価基準は担当教官によって異なるので、必ず確認すること。,講義,,学習の振り返り（ミニッツ・ペーパー等）,,１５回中１回,
2018,環境化学工学科,化学工学総論?,Comprehensive Chemical Engineering,前後期,３年次前後期,必修,2,二井晋、甲斐敬美、吉田昌弘、中里勉、武井孝行、水田敬、五島崇、岸本遼,"二井：niisus@cen.kagoshima-u.ac.jp、甲斐：t.kai@cen.kagoshima-u.ac.jp 、
吉田：myoshida@cen.kagoshima-u.ac.jp、
水田：kmizuta@cen.kagoshima-u.ac.jp 、五島：tgoshima@cen.kagoshima-u.ac.jp","化学工学・プロセス工学の基礎を習熟させることを目的とする。3年前期まで受講した専門教育科目である物理化学基礎、化学工学量論、化工熱力学、移動現象I、移動現象II、反応工学、分離工学、化学プロセス工学の習熟を図るために演習を中心とした講義を行う。演習に関する題材としては、社団法人　化学工学会が年1回実施（9月実施）している化学工学の資格試験の一つである化学工学技士（基礎）の過去問題、当該年度の化学工学技士（基礎）の最新問題を中心とする。さらに、各分野の教員が重要と考える過去問題に関連する演習も実施する。化学工学技士（基礎）の過去問題、9月に実施された最新問題ならびに過去問題に関連する演習については、各担当教員が特に重要と考える問題を取り上げ、単なる問題の解説だけでなく、より深く掘り下げた講義を実施する。
※講義担当は、授業計画に示された教員が担当する。講義の内容に関する質問は、各担当の教員に行うこと。","１．化学工学・プロセス工学に関する基礎の習熟を目指すこと。
２．化学工学技士（基礎）に出題される基本的な問題を解くことができること。",講義の2/3以上の出席は必須である。各担当の教員から指示される課題レポート等により評価する（100％）。,"ガイダンス(当該年度の教務委員が行う）
※以下の授業計画の順番は担当者の都合により変更になることがあるので、詳細は掲示板で必ず確認すること。
１．ガイダンス、気体の性質（武井）
２．相平衡（武井）
３．反応工学（甲斐）
４．反応工学演習（甲斐）
５．反応工学まとめ（甲斐）
６．化学工学量論（吉田）
７．化学工学量論演習（吉田）
８．化学工学量論まとめ（吉田）
９．分離（抽出、膜、イオン交換）（二井）
１０．分離（晶析、乾燥）（二井）
１１．分離まとめ（二井）
１２．流動（水田）
１３．伝熱（水田）
１４．分離（ガス吸収）（五島）
１５．プロセス制御（五島）",授業は授業計画に従って行うので、予習・復習をすること。課題レポートを必ず提出すること。また、演習内容をより深く、確実に理解するため、関連する講義の教科書、参考書をよく読むこと。合計で60時間以上の授業外学習時間が必要である。,化学工学技士（基礎）の過去問題、教員から配布される資料、教員より指示される教科書　等,メールによる質問は随時受け付ける。,物理化学基礎、化学工学量論、化工熱力学、移動現象I、移動現象II、反応工学、分離工学、化学プロセス工学,学習・教育到達目標４）,講義,,その他,講義中に学生を指名し、教員との意見交換を行う,15回中15回,該当しない
2018,環境化学工学科,化学工学特別実験,Special Chemical Engineering Laboratory,前後期,３年次前後期,随意科目,1,,教務委員,"4年次の卒業論文の準備段階である。指導教員から与えられたテーマについて、1.文献調査、2.実験計画立案、3.実験実施、4.データ解析、5.総合・考察・論文作成、と研究のすべての過程を自ら進めることを試みる。学んできたことを実際に総合的に応用する最初の場である。学生自身が積極的にかつ能動的に研究に取り組むことによって与えられたテーマに対する深い知識と理解が得られる。この過程で、4年次の卒業論文に要求される種
々の能力を養成することになる。特に、「種々の科学・技術・情報を利用して社会の要求を解決するためのデザイン能力」および「与えられた制約の下で計画的に仕事を進め、まとめる能力」が養われる。
学習・教育目標２）「自然科学の基礎知識と教養、および確かな化学工学専門知識に基づく設計と応用によって人類 社会に貢献できる人材」を養成するために行う。
科目コード：FENCHE9116
","1）与えられたテーマに係る実験・計算を通して、これまでに学んだ科目に関する事柄の理解を深める。
2）能動的に学習・研究を行うことにより、実験・計算を計画したり、自分自身で自律的に学習する素養を身につける。
3）未知の問題に対する、問題発見能力と工学的知識や手法を駆使した問題解決能力を身につける。
4）検討会等における討論を通して、実験を通して得た知見や知識を総合し、説明する能力を身につける。
5）実験を通して得た知見や知識を総合しプレゼンテーションする能力を身につける。
6）実験を通して得た知見や知識をレポートにまとめ、技術報告書や論文を書くために必要な日本語文章能力を身につける。","1）化学工学特別実験のテーマやそれに係る実験・計算の意味、テーマの技術的・社会的背景を理解できている
か、2）調査・分析・実験計画・装置設計製作・討論などを通して自ら問題を設定し、能動的に研究を進めたか、3）未解決の問題に対する解決方法を考案し、それを工学的知識や手法を総合して実施できたか、4）化学工学特別実験のを通して得た知識や知見を総合し、説明できる能力が身についたか、5）検討会を通してプレゼンテーションの基礎能力が身についたか、6）化学工学実験レポートの作成により十分な技術報告書や論文を書くための日本語表現能力が身についたか、などに関する評価基準に基づき、指導教員が総合的に評価する。","化学工学特別実験は卒業論文と同様に主体的に実施することから、時間割に記載されている以外の多くの時間に行うこともある。そのため、授業計画を示すことはできない。化学工学特別実験以外に履修する講義科目数にも関係するが、以下の内容を含み卒業論文と同程度（600時間以上）の従事が望ましい。
1.コンピュータ利用技術の訓練、　
2.装置デザイン、理論研究の基礎学習、　
3.文献等調査・分析・取りまとめ、　
4.検討会や指導教員との研究打ち合わせ及びその資料作成等に要する準備、　
6.化学工学実験レポートの作成、　
7.その他、研究を行うために必要な作業
",,教科書、参考書は各研究グループで指示する。,各研究グループで指示する。,,学習・教育目標２）,実験・実習,,,,,
2018,環境化学工学科,化学工学総論II,Comprehensive Chemical Engineering II,後期,３年次後期,必修,2,吉田 昌弘、中里 勉、武井 孝行,,,,,,,,,,,,,,,,
2018,環境化学工学科,化学工学総論III,Comprehensive Chemical Engineering III,後期,３年次後期,必修,2,鮫島 宗一郎 、武井 孝行、水田 敬、五島 崇、下之薗 太郎,,,,,,,,,,,,,,,,
2018,環境化学工学科,化学工学セミナー,Seminar in Chemical Engineering ,後期,３年次後期,必修,2,全教員,,　さまざまな化学製品の生産において化学技術および化学工学の応用がなされている。また、環境問題やエネルギーの問題の解決にもこれらの学問や技術が必須である。本講義においては、担当教員が専門とする分野のトピックスの紹介とともに、そこで利用されている科学や工学の基礎について分かりやすく講義する。この講義を受講することによって、これまで学習してきた基礎的事項がどのように社会で役にたつかを理解することができる。,"1.環境分野を中心として化学工学関連分野の広がりを理解すること
2.科学や工学の基礎がどのように応用されているかを理解すること
3.各人が自分の位置と将来性を感知し、興味ある方向を見出すこと
4.毎回の授業の内容を十分に理解し、レポートまたは小試験を通じて更に確かなものにすること
",毎回の課題レポート等（100%)により総合評価する。全講義の4／5以上への出席は必須である。,"1　クリーンな環境を作り出す高機能ファインセラミックス    （平田好洋）
2　クリーンエネルギーを創成する高機能ファインセラミックス（平田好洋）
3  化石燃料とバイオマスエネルギー                        （甲斐敬美）
4  持続可能社会とエネルギー変換技術                      （甲斐敬美） 
5　新しい社会を作る化学プロセス・システム                （筒井俊雄）
6  高性能反応プロセスにおける触媒と反応装置の役割        （筒井俊雄）
7  低環境負荷セラミックス材料合成                        （鮫島宗一郎）
8  高度エネルギー変換セラミックス材料                    （鮫島宗一郎）
9  環境バイオプロセス入門                                （吉田昌弘） 
10 環境負荷低減化の役割を果たす機能性微粒子              （吉田昌弘）
11 光を使う環境浄化材料　　　　　　　　　　　　　　　　　（中里勉）
12 粉の世界を科学する                                    （中里勉）
13 機能性ガラスのカチオン交換特性とその応用              （藤吉一誠）
14 グリーンハウスガスの排出削減と移動現象                （水田敬）
15 大気汚染物質の検知から浄化まで可能な高機能セラミックス（松永直樹）
",,"テキスト：担当教員により適宜配布される。
参考書・教科書：必要な場合は担当教員により指示する。",,,JABEE教育プログラムの教育目標：(B)、(D),,,,,,
2018,環境化学工学科,環化工演習,Lab Practice in Chemical Engineering,後期,３年次後期,必修,1,全教員,,　技術者・研究者はその仕事を遂行する上で、学術論文などから情報を得る機会が多い。また、４年次の卒業論文研究をおいては、最初に自らのテーマに関連した情報を集めて理解しなければならない。本授業では、環境工学分野の日本語の学術論文を読むことによって、表現方法や構成を学習し、文章の読解力を向上させる。つまり、この科目は講義で学んだことの応用であるとともに、今後の環境化学プロセス工学に関する研究活動の基礎となる科目である。,　この講義では、日本語で書かれた環境化学プロセス工学に関する文献のさまざまな表現の特徴を知り、日本語の学術論文の構成を学習するとともに、学術用語に慣れ、論文の読解力を向上させることが目標である。,発表やレポート等（100%)により総合評価する。4／5以上の出席は必須である。,"２報程度の日本語の学術論文が渡される（場合によっては、自分で検索して読む文献を見つける場合もある）。それぞれの学生ごとに異なる文献が与えられるので、自分の力で読解することになる。その文献を読んで、著者の1人になったつもりで発表を行う、もしくはレポートとして提出する。発表を行う場合にはプレゼンテーションのファイルを作成し、聴講者が理解できるように、分かりやすく発表を行う。与えられた論文の内容についての質問はオフィスアワー等で受け付ける。
１．ガイダンス（平田）
２．科学技術系の文章を読むための基本事項（学術論文を基に取り組み方を概説）（甲斐）
３．科学技術系の文章を読むための基本事項（学術論文から表現法を学ぶ）（甲斐）
４．学術論文中の装置図、図表、グラフに描かれていることを説明（筒井）
５．学術論文の説明文から装置図、図表、グラフを作成して分かり易く表現（筒井）
６．学生各自に与えられた論文の精読（要旨、イントロダクション内容理解）（鮫島）
７．学生各自に与えられた論文の精読（実験項、評価法の内容理解）（鮫島）
８．学生各自に与えられた論文の精読（結果および考察の内容理解）（吉田）
９．学生各自に与えられた論文の精読（図表等の内容理解）（吉田）
１０．学生各自に与えられた論文の精読（引用文献等の理解）（中里）
１１．論文内容個別指導（論文要約作成指導）（中里）
１２．論文内容個別指導（文章校正指導）（藤吉）
１３．論文内容個別指導（プレゼンテーション作成指導）（水田）
１４．論文内容個別指導（プレゼンテーション資料作成）（松永）
１５．プレゼンテーションおよび討論（全教員）
",,"テキスト：論文は担当教員と相談の上選択する。
参考書・参考資料等：論文を読むための参考論文等が担当教員により適宜配布される。
",,,JABEE教育プログラムの教育目標：(C),,,,,,
2018,環境化学工学科,環境化学工学,Environmental Chemical Engineering,後期,３年次後期,必修,2,大竹孝明,鹿児島高専・一般科目棟1F　0995-42-9056　ohtake@kagoshima-ct.ac.jp,"　地球の温暖化現象や砂漠化など、環境問題は国単位から地球レベルでの生態系の調和の問題へと国際的な関心が高まっている。人間活動の環境に対する影響を正確に理解し、また、人間活動と自然環境の相互作用において、生産活動を行い、かつ、環境保全に努め、よりよい環境を作り上げていかなければならない。これらを如何になすべきかということをテーマに、人間活動と環境との相互作用の理解に重点を置き、生産活動に従事する技術者として必要な環境問題全般に通ずる概念的知識を習得することを目的とする。
　環境工学（教科書）を基に、環境工学の中で応用化学工学科にとって重要な以下に示した内容について解説する。その他、環境に関する理解を深めるため、資料（プリント）、OHP等を用いて説明を行う。
　教育目標として掲げた「地域の文化や風土および産業と調和した工学技術の発展によって多様な地域社会に寄与できる能力」を養成するために講義を行う。","1.環境問題についての概要および歴史を把握する。
2.各環境問題の現状と対策を理解する。","学期末試験(８０%)、小テスト(１０%)およびレポート(１０%)を課し、成績を総合評価する。
講義の重要な項目については、講義後提出もしくは次週提出の課題を与えることがある。
課題レポートの提出、講義出席率５分の４以上と期末筆記試験受験は必須とする。
病気・天災等の不可抗力による期末試験欠席者には、追試験を実施する。"," 1.環境問題概論（開発と環境、工業と環境）
 2.地球環境問題、地球温暖化
 3.酸性雨
 4.オゾン層の破壊
 5.公害の定義、公害の分類
 6.公害の歴史、環境アセスメント
 7.大気汚染概説、大気汚染有害物質
 8.大気汚染物質の処理技術、悪臭
 9.ばいじんと粉じん
10.水質汚濁概説、汚水の分類
11.水質汚濁の機構と防止、汚水処理体系
12.微生物処理、水質有害物質
13.廃棄物概説、廃棄物の性状
14.廃棄物の処理・処分、土壌汚染
15.騒音公害と公害振動",,"教科書：住友恒他著,　新版　環境工学,　理工図書
参考書：斉藤武雄著,地球と都市の温暖化,森北出版,A.S.Behrman 著,山県登訳,水はみんなのもの―水をきれいにするための化学―,東京化学同人,小島紀徳編著,地球環境セミナー5　緑がつくる地球の環境,オーム社　など",各講義時間の終了後およびメールにより、質問を受け付ける。,特に受講必要な科目は無い。化学、物理、数学、物理化学、反応工学および単位操作が基礎となる。,化工コース：学習・教育目標[D],,,,,,
2018,環境化学工学科,無機材料化学II,Inorganic Materials Chemistry II,後期,３年次後期,選択,2,未定,,"　無機材料化学I では固体物理、固体化学に基づき、無機系材料の電磁気的性質について言及した。無機材料化
学II では、非酸化物セラミックスの力学的特性、固体材料における光と結晶の相互作用及び非晶質材料の合成
法、機能について解説する。

　本講義は、JABEEが教育目標として掲げた「確かな化学工学専門知識に基づく設計と応用によって人類社会に貢献できる能力」を養成する講義を行なう。","1.無機固体材料の化学結合と熱的性質および力学的性質の関係を理解する。
2.固体における光の吸収、透過およびルミネッセンス、レーザーの原理を理解する。
3.非晶質材料の構造と特性の関係について理解する。","全講義の4/5以上の出席は、必須である。
レポート（2回,60%）中間試験（20％）、期末試験（20％）で評価する。","1.非酸化物セラミックスの特徴
2.強度と破壊靭性
3.微構造と機械的性質
4.窒化ケイ素と炭化ケイ素
5.高熱伝導性セラミックス
6.複合化
7.傾斜機能材料
8.固体の光吸収
9.固体における光の透過
10.レーザー
11.半導体レーザー
12.ルミネッセンスとフォトクロミズム
13.アモルファスの構造
14.アモルファスの特性
15.アモルファスになりやすい物質",,"教科書：荒川、江頭、鮫島、平田、松本、村石　共著；無機材料化学（第2版）、三共出版（２００５）
参考書：西田、安田　編集、セラミックスの力学的特性評価、日刊工業新聞社（１９８６）
　　　　山口、柳田　編集、中村哲朗著、セラミックスと熱、セラミックサイエンスシリーズ６、技報堂出版　
　　　（１９８５）","月曜日　16:00-18:00
メールによる質問等を受け付ける。",無機化学基礎、無機化学、無機材料化学I,学習・教育目標（B)人類社会への貢献（専門値基礎及びそれに基づく設計および応用能力）,,,,,,
2018,環境化学工学科,技術英語II,Technical English II,後期,３年次後期,必修,2,鮫島宗一郎、下之薗太郎,理工系総合研究棟３階ナノ専攻第９研究室　099-285-7709　samesima@apc.kagoshima-u.ac.jp,"TOEIC(Test of English for International Communication)、又はTOEFL(Test of English as a Foreign Language)は、留学や就職の採用試験を受ける際の一つの条件に指定している企業も多くなっている。自分の英語力のレベルアップを目指す人はもとより、グローバルに活躍できるコミュニケーション手段を身につけたい人にとって、是非受験してほしい英語検定試験である。「工学英語II」では、「工学英語I」でTOEICについて基礎
練習を積んだことを活かし、実際にTOEICの受験を視野に入れ、より実戦的な授業を行う。筆記やリスニング対策に重点をおいて、必要なボキャブラリーやイディオムの習得、文法事項、長文読解、聴解練習などを中心に学習し、毎回、多くの模擬練習問題及び過去の試験験問題を活用し練習と解説を行う。
教育目標として掲げた、「国際的な情報交換と協調および生涯にわたる自己研鑽によって問題解決に努力できる
能力」を養成するために講義を行う。
科目のナンバリング：FENCHE3913","受講者全員が目標スコアを設定し、TOEIC受験をすること。
「技術英語I」の期末試験（TOEIC模擬試験）よりスコアアップを目指すこと。
既にTOECを受験し、スコアを取得している学生は、スコアアップを目指すこと。","期末試験(TOEIC模擬テスト)で評価する。
６００点以上　A、５００～５９９点　B、４００～４９９点　C
３００～３９９点　D、３００点未満　F
尚、指定された TOEIC Listening & Reading Test のスコアを提出することができる。
上記のいずれか成績の良い方で評価する。但し、期末試験が３００点未満の場合は、TOEIC試験の成績にかかわらずＦ（不可）とする。","TOEIC構成は、リスニングセッション（45分 100問）：Part1 Photographs(写真描写問題10問)、Part2　Question-Response(応答問題 30問)、Part3　Short Conversation(会話問題30問)、Part4 Short Talks(説明文問題 30問) と リーディングセッション（75分 100問）：Part5　Incomplete Sentences（短文穴埋め問題 40問）、Part6 Text Completion（長文穴埋め問題 12問）、Part7 Reading Comprehension（読解問題 48問）からなる。これを以下の計画により実施する。
１.オリエンテーション（TOEICテストについて、授業の進め方、評価等についての説明）
２．リスニング力養成(1)（TOEIC Part 1～2）、問題の傾向と解法の技術などの解説
３．リスニング力養成(2)（TOEIC Part 1～2)、実践練習
４．リスニング力養成(3)（TOEIC Part 1～2)、語彙力養成
５．リスニングのためのリーディング力養成(1)(TOEIC Part 3＆4)、文法総点検
６．リスニングのためのリーディング力養成(2)(TOEIC Part 3＆4)、語彙力養成
７．リスニングのためのリーディング力養成(3)(TOEIC Part 3＆4)、まとめ
８．短文穴埋め問題養成(4)（Part5）、文法総点検
９．短文穴埋め問題養成(5)（Part5）、語彙力養成
１０．リーディング力養成I (1)（Part6）、文法総点検
１１．リーディング力養成I (2)（Part6）、語彙力養成
１２．リーディング力養成I (3)（Part6）、まとめ
１３．リーディング力養成II (1)（Part7）、文法総点検
１４．リーディング力養成II (2)（Part7）、語彙力養成
１５．リーディング力養成II (3)（Part7）、まとめ
１６．期末試験（TOEIC模擬テスト）
","授業は授業計画に従って行うので、教科書の関係する箇所を予習しておくこと。TOEIC受験に向けて、教科書を利用して自主学習をすること。合計で６０時間以上の授業外学習時間が必要である。
","TOEICテスト公式問題集 新形式問題対応編（TOEIC運営委員会編）
",メールによる質問：随時,共通教育授業科目：英語I、英語II、英語III、英語IV,学科・教育目標４）,講義,,その他,TOEICテストの演習を実施する。,15回中3回,
2018,環境化学工学科,粉体工学,Particle Engineering,後期,３年次後期,必修,2,中里勉,　8360　nakazato@cen.kagoshima-u.ac.jp,"　固体を微細化した粒子の集合体は「粉体」と呼ばれ，薬品，食品，素材など，多くの産業分野で利用されている。粉体の挙動は生産目的に応じた装置によって制御されるため，諸現象について理解する必要がある。
　この授業の目的は，化学工学技術者が粉体プロセスに携わる上で粉体の挙動を理解することが不可欠であることから，粉体の物性や評価方法，運動特性について学ぶとともに，粉体装置の操作・設計を行える基礎力を身につけることを目的とする。
　授業内容としては，単一粒子および粒子集合体の物性を学習するとともに，粒子・流体系の性質も考慮し，気固系単位操作の粉砕，分級，集塵，調湿・乾燥について学習する。
　授業は，manabaにアップされた講義資料とレポート課題を組み合わせた形式で行う。manabaに毎回接続し授業の感想を書いて提出することを必須とする。","１．粉体の物性や測定法について理解し，説明できるようになること。
２．粒子個々ならびに粒子集合体としての物性や運動について計算できるようになること。
３．気固系の単位操作について，装置設計の基礎を理解すること。",講義に付随したレポート課題20％、計算演習20％とし、期末試験60％と合わせて総合評価する。,"授業は全て予習を前提とした講義とし、理解度を確認するため、授業中に学習内容や演習内容の説明を要求する場合がある。
１．ガイダンス・粉に関するDVD視聴
２．単一粒子の物性
３．比表面積
４．計算演習（１）：BET比表面積
５．粒子径と粒子径分布（１）：様々な表記法
６．粒子径と粒子径分布（２）：関数による近似
７．粒子・流体系の性質
８．粉砕
９．分級
１０．計算演習（２）：分級
１１．固気分離（１）：重力沈降
１２．固気分離（２）：遠心沈降，フィルタ
１３．計算演習（３）：集塵器の設計
１４．濾過
１５．まとめ
１６．期末試験","合計で60時間以上（1回あたり予習2時間，復習2時間）の授業時間外学習が必要である。
【予習】
・manabaにて次回の授業内容の講義資料を余裕をもって事前に確認し，印刷して余白等によく分からない点や質問したい点など，自分で書き入れをしておく。授業資料を切り貼りしてオリジナルノートを作成してもよい。
（学修に係る標準時間は約2時間）
【復習】
・manabaにて公開されるレポート課題の解答を確認し，自身の第1回提出の答案を添削してmanabaにて再提出する（第2回提出）。
・授業内容・レポート課題内容を振り返り，どこができなかったか要点を整理するとともに，必要に応じて他の書籍等で調べるなど，自分で書き入れた資料やオリジナルノートを充実させ，各単元の理解に努める。
・manabaで提供される「お役立ち情報」に目を通す。
・余力のある人は教科書の例題や章末問題を自主的に解いてみる。
（学修にかかる標準時間は約2時間）","教科書：化学工学会監修，多田豊編：「改訂第3版　化学工学―解説と演習―」，朝倉書店
参考書：椿淳一郎，鈴木道隆，神田良照著：「入門　粒子・粉体工学」，日刊工業新聞社",オフィスアワーは金曜日 16:10-17:40とするが，manaba上のスレッドで質問を随時受け付ける。何でも積極的に質問することを期待する。質問した分だけ，理解内容が増えた分だけレベルアップすることは確実で，本授業の完全理解は有能な化学工学技術者へ確実に成長できる。授業の遅刻が多かったり，理解が不十分のまま質問もせずに消極的な姿勢で毎回を過ごすと期末試験で必ず失敗する。,物理学基礎AI，物理学基礎AII，移動現象I，分離工学,学習・教育目標２）,講義,,学習の振り返り（ミニッツ・ペーパー等）その他,レポート課題（やや難解な問題を課すので，学生間で話合い・教え合いを自由に行ってよい。）,15回中10回,該当なし
2018,環境化学工学科,原子力・放射線と環境,"Nuclear Power, Radiation and Enviroment",後期,３年次後期,選択,2,佐藤　紘一,理工系総合研究棟３階　099-285-8265　ksato@mech.kagoshima-u.ac.jp,原子力関連の事故が起こるたびに原子力の利用は議論の的になっている。工学部の学生は、科学的・工学的な知識をもとに原子力について考えることが大切である。そこで、本講義では原子力や放射線に対して正しい知識を持ち、それらが環境に及ぼす影響を理解したうえで、原子力利用の是非について考えるきっかけを与えることを目的とする。原子力発電の原理・周辺技術・放射性廃棄物・原子力関連の事故、放射線とその物質との相互作用などについて講義する予定である。原子力発電の事故から発せられる意見については、賛否どちらも紹介する。,"・原子炉の原理・構造、構造材料などの周辺技術、原子炉以外の原子力を用いた炉について理解する。
・放射性廃棄物に関する知識を得て、それらが環境に及ぼす影響について考察する。
・原子力発電における事故について学び、社会における原子力の位置付けについて考える。
・放射線の発生原理、物質・人体・環境との相互作用に関する知識を得る。",講義中の小テスト、中間テスト、期末レポートを課す。小テスト、中間テスト、期末レポートの点数をそれぞれ20%、40％、40％の比率で総合的に評価し、目標に対する学習到達度90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦと評価する。,"第１回：原子の構造
第２回：核エネルギーの発生
第３回：放射線とは・放射線の性質
第４回：放射性物質の生成・放射線の評価
第５回：環境中の放射性物質
第６回：放射線の人体への影響・放射線の防護
第７回：放射線の測り方
第８回：中間のまとめ
第９回：エネルギー情勢・地球規模の環境問題
第１０回：原子力発電の仕組み
第１１回：原子力発電の現状・安全性
第１２回：原子燃料サイクル・放射性廃棄物
第１３回：発電所の廃止・その他
第１４回：原子力発電所の事故
第１５回：福島第一原子力発電所の事故",参考書や配布試料を使用して、予習・復習を行い、各項目についてより理解を深めること。これらの授業時間外学習は６０時間行うこと。,"適宜資料を配布する。
参考書：原子力発電がよくわかる本（榎本聡明著、オーム社）、放射線を科学的に理解する（鳥居寛之、小豆川勝見、渡辺雄一郎、中川 恵一著、丸善出版）",火曜日１０：００～１２：００,"数学、物理学、化学、生物学等基礎専門科目エネルギー工学論、環境工学論、材料科学論
注；本講義は全学科にまたがっているので、学科指定の科目で良い。",教育目標（３）、（４）（機械） ［電気電子工学科の学習・教育到達目標］（Ａ）技術者倫理（Ｂ）多面的な思考（電気電子） 学習・教育目標：１）（環化工）,講義,,グループワーク,,15回中1回,
2018,環境化学工学科,科学技術論,"Science, Technology and Society",後期,３年次後期,選択,2,塩屋晋一、澤田樹一郎、柴田晃宏、木方十根、二宮秀與、鯵坂徹、小山雄資、内山博之、辻村誠一,　099-285-8299　shin@aae.kagoshima-u.ac.jp,"　科学技術は産業革命以降急速な発展を遂げ、今日もなお進化し続けている。科学技術の発展により、人類の長年の夢や願望の多くが実現され、人々は便利な生活を手に入れることができたが、その反面、都市への人口集中や産業の急速な発展により環境破壊や公害などの問題を生み出している。
　本講義では、科学技術の発展が人々に何をもたらし、どのように生活を変えていったのかを知るとともに、その中で科学者や技術者は何を考え、どのように行動してきたかについて考えていきたい。科学技術のもたらす正と負の２つの面を理解し、これからの科学者、技術者は如何にあるべきかを考えるのが本講義の目標である。 
　教員がそれぞれの専門に近い領域の問題を取り上げ、門教授は「人類の夢と科学技術」と題して動力利用の進化と技術の関係を、松村教授は「２０世紀の災害と建築防災の技術」と題して地震災害への科学技術の貢献について、塩谷助教授は「コンクリート造建築物の技術」と題して建築物における技術の問題について、論じる。","　本講義で到達すべき目標は以下の２つである。

１）高度に発達した現在の科学技術の社会的意味および科学技術がもたらす有益な面と有害な面について理解す
る。
２）科学者・技術者はどのようにすれば科学技術を人々のために真に役立てることができるかを理解する。 
","　教員により、講義内容に関連した課題を宿題にする場合もあるし、試験を行う場合もある。その結果が課題に適切に答えているか、講義の内容を十分に理解しているかを基準にして成績を評価する。
　上記の目標に対してレポートと試験の場合はレポートが70%、試験が30%で評価する。レポートだけの場合はレポートだけで評価する。それぞれの教員の成績を総合した評点をこの科目の成績とする。 
","１）科学技術の発展（講義の進め方を含む）     塩屋教授（建築学科）           
２）インタフェースの変遷とハードウェアの進歩 内山教授（情報生体工学科）     
３）GUIの特徴と今後のBMI技術などの展望   内山教授                    
４) フラクタルの世界　　　　　　        　　　吉本准教授 （情報生体工学科）  
５）カオスの基礎概念　　　　　　      　　　 吉本准教授 （情報生体工学科）   
６）作業資格と労働安全             　　　　　黒川准教授(建築学科）          
７）建築と都市計画　　　　　　　   　       小山准教授（建築学科）          
８）建設と破壊にみる現代文明の課題   　 　  木方教授（建築学科）            
９）水とトイレの生活科学　 　　　　  　     二宮教授（建築学科）           
10）パリの街並みと都市計画制度　　　  　    鰺坂教授（建築学科）           
11）都市を構成する建築の保存再生　　　 　   鰺坂教授                      
12）住空間における豊かさ     　　　  　     柴田准教授（建築学科）           
13）木と森　　　　       　  　　　　　　 　鷹野准教授(建築学科）            
14）木と建物　　　　　　　　　　　        　鷹野准教授(建築学科）            
15）これからの科学技術と問題点     　       塩屋教授　（建築学科）",これらの授業時間外学習は60時間行うこと,教科書は使用しないが、各教員の講義内容に関連する教科書や参考書を紹介する。 ,"複数の教員が担当するので、教員毎にオフィスアワーは異なる。講義の始めに案内する。
受講者数制限８０名
",なし,学習・教育目標における本科目の分野は、非特定領域で、学習保証時間は22.5時間である。電気電子工学科の場合、学習・教育到達目標は(A)「技術者倫理」と(B)「多面的な思考」になります。,講義,,,,0回中0回,
